#File/QSO name                z      taueff err_up err_low sensitivity
sdssj1253+6817nyquist         3.160  2.757  0.106  0.102  5.524
sdssj1253+6817nyquist         3.200  4.344  0.459  0.313  5.436
sdssj1253+6817nyquist         3.240  3.946  0.258  0.205  5.622
sdssj1253+6817nyquist         3.360  3.830  0.226  0.196  5.566
hs0911+4809nyquist            2.720  2.215  0.186  0.147  4.529
hs0911+4809nyquist            2.760  3.168  0.303  0.235  4.795
hs0911+4809nyquist            2.800  2.040  0.114  0.113  4.905
hs0911+4809nyquist            2.840  2.700  0.159  0.154  5.036
hs0911+4809nyquist            2.920  4.432  1.141  0.545  4.906
hs0911+4809nyquist            3.080  4.446  0.667  0.464  5.228
hs0911+4809nyquist            3.120  5.351  3.022  0.657  5.506
hs0911+4809nyquist            3.160  3.145  0.184  0.145  5.434
hs0911+4809nyquist            3.200  4.218  0.425  0.298  5.571
sbs1602+576nyquist            2.680  1.939  0.133  0.118  5.122
sbs1602+576nyquist            2.720  2.056  0.096  0.096  5.551
sbs1602+576nyquist            2.760  1.552  0.062  0.058  5.697
sbs1602+576nyquist            2.800  2.506  0.101  0.090  5.886
hs1024+1849nyquist            2.680  2.053  0.252  0.204  4.287
hs1024+1849nyquist            2.720  2.594  0.230  0.198  4.719
hs1024+1849nyquist            2.760  2.687  0.200  0.182  4.910
hs1700+6416nyquist            2.320  1.652  0.319  0.246  3.071
hs1700+6416nyquist            2.480  1.381  0.114  0.108  3.948
hs1700+6416nyquist            2.520  1.380  0.104  0.097  4.107
hs1700+6416nyquist            2.560  1.976  0.084  0.077  5.056
hs1700+6416nyquist            2.600  2.070  0.050  0.047  5.994
hs1700+6416nyquist            2.640  1.499  0.022  0.022  6.819
hs1700+6416nyquist            2.680  1.577  0.019  0.019  7.235
q0302stis_new                 2.800  2.190  0.174  0.148  4.341
q0302stis_new                 2.840  2.179  0.119  0.114  4.734
q0302stis_new                 2.880  4.044  0.580  0.382  4.917
q0302stis_new                 2.920  4.449  1.010  0.479  4.982
q0302stis_new                 3.080  4.714  0.759  0.412  5.417
q0302stis_new                 3.120  4.898  0.918  0.456  5.485
hs1157stis                    2.800  2.536  0.253  0.216  4.154
hs1157stis                    2.840  2.338  0.144  0.130  4.530
hs1157stis                    2.880  3.417  0.384  0.288  4.604
hs1157stis                    2.920  2.100  0.117  0.106  4.485
he2347g140lnyquist            2.320  0.935  0.137  0.117  3.400
he2347g140lnyquist            2.440  1.372  0.098  0.096  4.218
he2347g140lnyquist            2.480  1.288  0.091  0.085  4.298
he2347g140lnyquist            2.520  1.417  0.091  0.085  4.441
he2347g140lnyquist            2.560  1.920  0.073  0.065  5.356
he2347g140lnyquist            2.600  1.490  0.035  0.033  6.243
he2347g140lnyquist            2.640  1.623  0.024  0.023  7.051
he2347g140lnyquist            2.680  1.996  0.026  0.025  7.393
he2347g140lnyquist            2.720  1.798  0.021  0.021  7.644
he2347g130mnyquist            2.760  4.989  0.097  0.089  7.570
he2347g130mnyquist            2.800  1.862  0.008  0.008  7.996
he2347g130mnyquist            2.840  3.466  0.019  0.019  8.087
